combo_id,timeframes,tf_count,regime_detection_tf,htf_alignment_tfs,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,elapsed_sec
M1+M15+M30+D1,"M1,M15,M30,D1",4,D1,D1,2342,61.15,76.9,2.07,2002974.0,4.67,3.35,66.77,45.7
M30,M30,1,M30,M30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0
M1+M15+H1+H4,"M1,M15,H1,H4",4,H1,H4,4825,65.26,80.68,2.58,5583297.0,3.18,5.96,186.11,43.2
M1+M15+H1+H8,"M1,M15,H1,H8",4,H1,"H8,H1",4717,62.71,78.66,2.26,4678731.0,5.96,5.09,155.96,44.8
H1,H1,1,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.7
M1+M15+H1+D1,"M1,M15,H1,D1",4,H1,D1,3710,62.08,77.69,2.15,3314666.0,4.37,4.53,110.49,45.2
M1+M15+H4+H8,"M1,M15,H4,H8",4,H4,H4,4400,65.13,79.24,2.56,5127293.0,3.87,5.51,170.91,47.5
M1+M15+H4+D1,"M1,M15,H4,D1",4,H4,"H4,D1",4054,63.32,78.27,2.34,4164799.0,3.83,4.96,138.83,45.3
H4,H4,1,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6
M1+M15+H8+D1,"M1,M15,H8,D1",4,H8,D1,3730,64.04,78.31,2.35,3846801.0,3.92,4.86,128.23,44.0
M1+M30+H1+H4,"M1,M30,H1,H4",4,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3
H8,H8,1,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.2
M1+M30+H1+H8,"M1,M30,H1,H8",4,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2
M1+M30+H1+D1,"M1,M30,H1,D1",4,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4
M1+M30+H4+H8,"M1,M30,H4,H8",4,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6
D1,D1,1,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.3
M1+M30+H4+D1,"M1,M30,H4,D1",4,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
M1+M30+H8+D1,"M1,M30,H8,D1",4,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8
M1+H1+H4+H8,"M1,H1,H4,H8",4,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6
M1+H1+H4+D1,"M1,H1,H4,D1",4,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1
M1+M5,"M1,M5",2,M5,M5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.9
M1+H1+H8+D1,"M1,H1,H8,D1",4,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3
M1+H4+H8+D1,"M1,H4,H8,D1",4,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2
M5+M15+M30+H1,"M5,M15,M30,H1",4,H1,H1,4398,59.01,75.9,1.83,2935154.0,7.47,3.98,97.84,43.5
M5+M15+M30+H4,"M5,M15,M30,H4",4,H4,H4,4024,63.88,78.36,2.41,4205716.0,4.43,5.07,140.19,49.3
M1+M15,"M1,M15",2,M15,M15,1201,49.49,80.33,1.67,558903.0,5.97,1.93,18.63,208.1
M5+M15+M30+H8,"M5,M15,M30,H8",4,H8,H8,3630,63.78,78.52,2.39,3907016.0,3.98,4.97,130.23,41.7
M5+M15+M30+D1,"M5,M15,M30,D1",4,D1,D1,3062,61.29,76.72,2.13,2855826.0,5.58,4.0,95.19,49.9
M5+M15+H1+H4,"M5,M15,H1,H4",4,H1,H4,5486,64.03,79.52,2.38,5439616.0,3.09,5.7,181.32,59.9
M5+M15+H1+H8,"M5,M15,H1,H8",4,H1,"H8,H1",5445,60.88,77.2,2.0,4135255.0,4.85,4.6,137.84,44.4
M1+M30,"M1,M30",2,M30,M30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.1
M5+M15+H1+D1,"M5,M15,H1,D1",4,H1,D1,4432,62.64,77.9,2.24,4113908.0,4.32,4.74,137.13,41.3
M5+M15+H4+H8,"M5,M15,H4,H8",4,H4,H4,5326,64.52,79.32,2.59,5944654.0,3.14,5.66,198.16,45.6
M5+M15+H4+D1,"M5,M15,H4,D1",4,H4,"H4,D1",5001,63.51,78.24,2.34,4893046.0,4.81,5.21,163.1,41.5
M5+M15+H8+D1,"M5,M15,H8,D1",4,H8,D1,4456,63.9,78.48,2.4,4727518.0,3.88,5.1,157.58,42.2
M1+H1,"M1,H1",2,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9
M5+M30+H1+H4,"M5,M30,H1,H4",4,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6
M5+M30+H1+H8,"M5,M30,H1,H8",4,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7
M5+M30+H1+D1,"M5,M30,H1,D1",4,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3
M5+M30+H4+H8,"M5,M30,H4,H8",4,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
M1+H4,"M1,H4",2,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.2
M5+M30+H4+D1,"M5,M30,H4,D1",4,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5
M5+M30+H8+D1,"M5,M30,H8,D1",4,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3
M5+H1+H4+H8,"M5,H1,H4,H8",4,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7
M5+H1+H4+D1,"M5,H1,H4,D1",4,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6
M1+H8,"M1,H8",2,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.2
M5+H1+H8+D1,"M5,H1,H8,D1",4,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5
M5+H4+H8+D1,"M5,H4,H8,D1",4,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6
M15+M30+H1+H4,"M15,M30,H1,H4",4,H1,H4,3394,66.12,81.14,2.89,4578619.0,3.79,5.94,152.62,43.1
M15+M30+H1+H8,"M15,M30,H1,H8",4,H1,"H8,H1",2997,65.01,79.41,2.78,4071473.0,3.28,5.33,135.72,44.4
M1+D1,"M1,D1",2,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.9
M15+M30+H1+D1,"M15,M30,H1,D1",4,H1,D1,2320,63.43,78.33,2.37,2467270.0,3.37,4.11,82.24,43.0
M15+M30+H4+H8,"M15,M30,H4,H8",4,H4,H4,2683,67.79,80.79,3.26,4157018.0,2.66,5.46,138.57,43.0
M15+M30+H4+D1,"M15,M30,H4,D1",4,H4,"H4,D1",2225,65.59,80.4,2.89,2941121.0,3.43,4.55,98.04,46.0
M15+M30+H8+D1,"M15,M30,H8,D1",4,H8,D1,2254,66.14,80.06,2.82,2923949.0,3.55,4.51,97.46,51.9
M5+M15,"M5,M15",2,M15,M15,3982,53.84,85.55,2.8,4296492.0,5.94,6.27,143.22,187.6
M15+H1+H4+H8,"M15,H1,H4,H8",4,H1,H4,4772,65.51,80.43,2.56,5531455.0,3.7,6.01,184.38,47.0
M15+H1+H4+D1,"M15,H1,H4,D1",4,H1,"H4,D1",4357,64.4,79.27,2.6,5271245.0,3.35,5.88,175.71,46.7
M15+H1+H8+D1,"M15,H1,H8,D1",4,H1,D1,3708,64.21,79.08,2.4,3924532.0,3.29,4.97,130.82,49.3
M15+H4+H8+D1,"M15,H4,H8,D1",4,H4,"H4,D1",3823,64.97,79.04,2.58,4502466.0,3.15,5.37,150.08,57.4
M5+M30,"M5,M30",2,M30,M30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
M30+H1+H4+H8,"M30,H1,H4,H8",4,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2
M30+H1+H4+D1,"M30,H1,H4,D1",4,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5
M30+H1+H8+D1,"M30,H1,H8,D1",4,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9
M30+H4+H8+D1,"M30,H4,H8,D1",4,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9
M5+H1,"M5,H1",2,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.6
H1+H4+H8+D1,"H1,H4,H8,D1",4,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6
M1+M5+M15+M30+H1,"M1,M5,M15,M30,H1",5,H1,H1,5453,58.78,75.98,1.82,3414643.0,5.81,3.94,113.82,68.2
M1+M5+M15+M30+H4,"M1,M5,M15,M30,H4",5,H4,H4,5610,63.71,78.69,2.31,5338134.0,3.97,5.3,177.94,60.6
M1+M5+M15+M30+H8,"M1,M5,M15,M30,H8",5,H8,H8,5212,63.98,78.41,2.22,4866781.0,4.21,5.06,162.23,48.7
M5+H4,"M5,H4",2,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.9
M1+M5+M15+M30+D1,"M1,M5,M15,M30,D1",5,D1,D1,4387,61.07,76.17,2.06,3783269.0,4.29,4.39,126.11,49.7
M1+M5+M15+H1+H4,"M1,M5,M15,H1,H4",5,H1,H4,5814,62.1,77.76,2.07,4604529.0,4.35,4.63,153.48,49.1
M1+M5+M15+H1+H8,"M1,M5,M15,H1,H8",5,H1,"H8,H1",6144,59.63,75.87,1.83,3868873.0,5.82,4.15,128.96,47.0
